,content
792,"Quy trình engineering là quy trình, nên nó là trình tự thực hiện một hoạt động đã được quy định. Quy trình engineering tập hợp các bước để làm dự án, có định nghĩa các output cần có rõ ràng. Các output phục vụ mục đích chính cho việc coding, nhằm nâng cao chất lượng sản phẩm.
"
793,"Mỗi quy trình đã được định nghĩa cách làm và output cần phải như thế nào, đồng thời cũng có đầy đủ tài liệu hướng dẫn giải thích về các công việc cần làm đó.
"
794,"Quy trình engineering sẽ nhẫn mạnh vào việc tạo ra 1 sản phẩm chất lượng, do đó các quy trình con, output của nó cũng là các output cần chất lượng.
"
795,"Quy trình engineering gồm các bước như sau:
"
796,"Gồm 3 giai đoạn chính:
"
797,"Giai đoạn khởi tạo dự án:
"
798,"Phân tích yêu cầu
"
799,"Thiết kế
"
800,"Định nghĩa các quy trình coding
"
801,"Khởi tạo source code
"
802,"Giai đoạn phát triển: giai đoạn này là vòng lặp phát triển các tính năng, mỗi tính năng đều cần các bước phát triển dưới đây.
"
803,"Phân tích yêu cầu
"
804,"Thiết kế
"
805,"Coding
"
806,"Review
"
807,"Quality code gate
"
808,"Deploy
"
809,"Giai đoạn release:
"
810,"Testing: phần này thuộc về đội QC, nên sẽ không giới thiệu trong tài liệu này, và trong quy trình này không đưa vào
"
811,"Security: Đảm bảo bảo mật thông tin
"
812,"Bảo mật trong quá trình vận hành dự án
"
813,"Các lỗi liên quan đến coding
"
814,"Delivery: giao hàng cho khách hàng
"
815,"Trong quá trình làm sản phẩm, giai đoạn 2 và 3 sẽ được lặp đi lặp lại nhiều lần. Trong giai đoạn 2 cũng là một vòng lặp phát triển các tính năng.
"
816,"2. Tại sao cần quy trình engineering ?
"
817,"Hiện tại, ở HBLAB đa số các dự án đều làm cho khách hàng startup nên thường có xu hướng làm lâu dài. Do vậy, nếu chất lượng code không tốt sẽ ảnh hưởng nhiều đến việc vận hành và phát triển sau này. Đặc biệt, sẽ cực kỳ tốn rất nhiều thời gian để đi đối ứng bug production, các bug xảy ra trên production cũng dễ hiểu, khi khách hàng mong muốn phát triển sản phẩm nhanh, và spec thay đổi liên tục. Nhưng làm sao để giảm được số bug, làm sao khi có bug, việc đối ứng được diễn ra nhanh chóng, và có thể nhiều người hỗ trợ được, không chỉ bên trong dự án, mà cả bên ngoài dự án, không chỉ member code phần đó, mà member khác dự án cũng có thể giúp việc đối ứng này. Thêm vào đó các dự án cho khách hàng startup thường kéo dài, cho nên dễ có việc thêm member mới, thay đổi member cũ, nếu không có các tài liệu này thì rất khó để có thể transfer sang cho các member mới.
"
818,"Ở từng quy trình con, đều có nói rõ những mục đích và ý nghĩa của nó rồi. Để 1 hệ thống có phát triển và vận hành tốt, thì phần thiết kế ban đầu phải đảm bảo có tính mở rộng và kế thừa tốt. Do vậy, khi triển khai các quy trình này, một phần giúp cho việc mở rộng tốt hơn, đồng thời đảm bảo được hệ thống có thể bảo mật, có tính sẵn sàng cao … Như việc thiết kế batch, giúp cho việc phục hồi nhanh chóng, việc thiết kế log ban đầu giúp cho việc phân tích thống kê, điều tra bug, hoặc theo dõi hành vi của user tốt hơn.
"
819,"Mặt khác, khi triển khai quy trình, sự thống nhất đã được đảm bảo, để members đều có hiểu giống nhau, giúp cho việc vận hành dự án tốt hơn, tránh các trường hợp mất thời gian để giải thích lại, hay mất thời gian đi tìm tài liệu. Nó cũng giúp việc training dev mới nhanh hơn. Đồng thời, các tính năng phát triển đều được chia sẻ cho nhau, khi phát triển sản phẩm giảm ít ảnh hưởng tới các phần khác hơn.
"
820,"Việc triển khai quy trình cũng sẽ giúp cho member cần phải học và ứng dụng nhiều cái vào dự án. Qua đó cũng giúp cho năng lực của members cũng tiến bộ lên.
"
821,"Mục đích hướng tới của quy trình engineering là giúp phát triển sản phẩm tốt và chất lượng coding tốt hơn, qua đó dễ dàng vận hành và phát triển sản phẩm hơn. Sau xa hơn, khi các triển khai thuần thục các quy trình, chúng ta đã có các output theo chuẩn, có thể tiến hành auto làm 1 số đầu việc để có thể tăng tốc phát triển sản phẩm cho khách hàng.
"
822,"Việc triển khai quy trình không chỉ giúp làm dự án tốt hơn, tạo ra sản phẩm tốt hơn, mà còn nâng cao năng lực của các members, nó cũng chính là định hưởng theo mission của công ty: Nâng tầm chất lượng Việt Nam.
"
823,"3. Quy trình engineering có gì?
"
824,"Đây là file master list các tài liệu của quy trình engineering: Quy trình Engineering
"
825,"Trong file này, có đầy đủ hướng dẫn các quy trình, mục đích của từng quy trình dùng để làm gì, và cũng định nghĩa các output cần có của từng quy trình. Đồng thời cũng đưa ra các tài liệu cho từng quy trình đó cũng như các biểu mẫu sử dụng cho quy trình đó.
"
826,"Tất cả các tài liệu và template đều được để ở thư mực: Thư mục các hướng dẫn và template
"
827,"4. So sánh quy trình engineering và quy trình phát triển phần mềm
"
828,"Hiện tại, quy trình phát triển phần mềm(PTPM) của công ty đang được vận hành bởi đội QA. Vậy 2 quy trình này có gì giống và khác nhau.
"
829,"Về cơ bản, quy trình engineering là con của quy trình phát triển phần mềm, nhưng đang được vận hành bởi 2 bộ phận khác nhau. Quy trình engineering sẽ được vận hành, phát triển cũng như audit bởi đội COE.
"
830,"Quy trình engineering sẽ hướng tới chất lượng các công đoạn làm ra, do vậy khi audit sẽ đi sâu vào dự án để audit chất lượng các output làm ra. Còn đối với quy trình PTPM được đội QA vận hành, sẽ kiểm tra có làm hay không, nhưng không đánh giá được chất lượng làm có tốt không.
"
831,"Quy trình engineering sẽ chỉ tập trung vào developers là chính, còn đối với quy trình PTTM sẽ tập trung vào dự án, nên không chỉ developers mà còn comtors, testers nữa. Cả 2 quy trình này cần PM nhận thức và nắm được để vận hành dự án tốt hơn.
"
832,"5. FAQ
"
833,"Quy trình PTPM cũng audit và quy trình engineering cũng vậy thì có dẫm chân nhau không?
"
834,"Về cơ bản cách thức thực hiện khác nhau, nên dần dần các đầu việc liên quan đến dev bên COE kiểm soát chất lượng, bên QA sẽ hỗ trợ COE việc kiểm soát có làm hay không, do effort COE chưa có, nếu effort đội COE đủ thì đội COE sẽ làm.
"
835,"Ai là người kiểm soát quy trình engineering?
"
836,"Đội COE và TL, PTL của các bộ phận sẽ hỗ trợ dự án, cũng như việc audit dự án
"
837,"Ai là người thực hiện chính quy trình engineering trong dự án?
"
838,"PTL/PM sẽ là người chịu trách nhiệm chính cho dự án, nếu dự án không có PTL thì PM sẽ chịu trách nhiệm, hoặc assign 1 bạn key của dự án chịu trách nhiệm, đội COE sẽ hỗ trợ và làm việc với bạn được assign
"
839,"Có nhiều quy trình như vậy thì khi triển khai có vẻ sẽ gây ra nhiều effort cho dự án, có cách nào để làm tốt hơn không?
"
840,"Về cơ bản, mục tiêu triển khai quy trình là hỗ trợ và nâng cao chất lượng dự án, nên sẽ cố gắng thực hiện các công việc để nâng cao chất lượng. Khi triển khai vào dự án, sẽ thống nhất với dự án triển khai quy trình nào, dự vào effort và plan của dự án, chứ không triển khai hết, cho nên việc quyết định triển khai là do team dự án quyết định, đội COE chỉ tư vấn và hỗ trợ, nhưng khi triển khai cần đảm bảo được chất lượng, lúc đó đội COE sẽ audit.
"
841,"Để thực hiện được quy trình này, cần có đào tạo dev trong dự án nắm được, vậy kế hoạch đào tạo sẽ như thế nào?
"
842,"Khi có kế hoạch triển khai, đội dự án trao đổi với TBP và liên hệ đội COE, đội COE sẽ tư vấn và có thể tổ chức training nội bộ dự án, hoặc giải đáp thắc mắc về mặt tài liệu, để giúp dev tiếp cận nhanh hơn.
"
843,"6. Đội Audit
"
844,"Gồm đội COE và các bạn TL, PTL của các bộ phận.
"
845,"Đội COE hiện tại gồm 2 người làm chính:
"
846,"DieuHD ([[1]]): chịu trách nhiệm chung
"
847,"ThanhBN ([[2]]): chịu trách nhiệm về phần INFRA
"
848,"Khi cần trao đổi, có thể contact qua email [[3]] hoặc mail của các members, hoặc qua chatwork trực tiếp, hoặc group HBLAB Developers.
"
849,"Tài liệu checklist clean code
"
850,"Jump to navigationJump to search
"
851,"Đây là folder chứa các tài liệu checklist cho clean code, hiện tại chỉ hỗ trợ cho 3 ngôn ngữ: PHP, JS, JAVA
"
852,"https://drive.google.com/drive/folders/15ZflrY4LFt7oi1YSsaIYsZ0Y6JcHP8pw
"
853,"Trong đó gồm có các tài liệu sau:
"
854,"- Clean code checklist - PHP
"
855,"- Clean code checklist - Java
"
856,"- Clean code checklist - JS
"
857,"- File hướng dẫn quy trình review code và tích hợp checklist vào merge request
"
858,"- và 3 file checklist đã được chuyển sang file markdown
"
859,"Các bước triển khai cho dự án của mình:
"
860,"Đầu tiên mọi người nắm được quy trình review code, và đưa quy trình này thống nhất trong dự án của mình.
"
861,"Tích hợp checklist clean code vào merge request như hướng dẫn trong file Review code process
"
862,"Thực hiện theo quy trình đã được định nghĩa trong mục 3, và tuân thủ các quy tắc dành cho người submit code và người review
"
863,"Cải tiến, bổ sung hoặc chỉnh sửa checklist cho phù hợp dự án(cần trao đổi với đội COE (dieuhd@hblab.vn) để thống nhât)
"
864,"Mọi người chú ý đọc file hướng dẫn tích hợp vào merge request nhé
"
865,"Developers - Lộ trình phát triển
"
866,"Jump to navigationJump to search
"
867,"Chi tiết xem tại đây: HBLAB Developers - Lộ trình phát triển
"
868,"Đầu tiên xin nhấn mạnh, các định nghĩa trong tài liệu này dựa trên môi trường của HBLAB gồm kiến thức, năng lực và dự án của công ty. Các tiêu chí đánh giá được thiết kế để phù hợp với môi trường, văn hóa, dự án của HBLAB.
"
869,"Nên có thể level senior ở công ty bên ngoài sẽ khác với level senior ở HBLAB.
"
870,"Contents
"
871,"1	1 Mục đích
"
872,"2	2 Tiêu chí đánh giá
"
873,"3	3 Hình thức đánh giá
"
874,"4	4 Thời điểm đánh giá
"
875,"1 Mục đích
"
876,"Định hướng phát triển theo hướng chuyên môn kỹ thuật (technical), không có định hướng về các rẽ nhánh sang các vị trí khác như PM … (nếu sang nhánh khác thì có thể xem lộ trình phát triển của nhánh định hướng sang (nếu có), hoặc trao đổi với cấp trên)
"
877,"Lộ trình này để một bạn developer có thể biết được năng lực hiện tại đang ở trình độ nào, cần phải học kiến thức nào, hoặc biết cần phải nâng cao năng lực bản thân lên trình độ nào.
"
878,"Ngoài ra, để các dự án có thể dùng để phân công các công việc phù hợp cho từng trình độ, mức độ khó của task được giao cũng sẽ tăng lên theo trình độ của developers
"
879,"Cái này chỉ phục vụ cho mục tiêu phát triển năng lực, định hướng phát triển về kỹ thuật, không liên quan đến lương, thưởng của các developers. Lương, thưởng được phản ánh bởi công sức đóng góp vào công ty, dự án,...
"
880,"2 Tiêu chí đánh giá
"
881,"Có nhiều mô hình đánh giá năng lực, tuy nhiên ở chúng ta sẽ đánh giá theo năng lực theo mô hình Dreyfus (đánh giá năng lực dựa trên thực nghiệm), đánh giá trên việc đã làm của mình chứ không phải dựa trên hiểu biết lý thuyết.
"
882,"Theo mô hình Dreyfus sẽ có 5 mức, thang điểm như sau:
"
883,"Level	Point
"
884,"Can't rate	Can't rate
"
885,"No skill(chưa biết gì)	--
"
886,"Novice (mới bắt đầu)	1
"
887,"Advanced Beginner(Nhập môn)	2
"
888,"Competent (Có năng lực)	3
"
889,"Proficient (Thành thạo)	4
"
890,"Expert(Tinh thông)	5
"
891,"Chi tiết cách đánh giá xem sheet Norm.
"
892,"Các level sẽ tương ứng với khoảng điểm như sau (dự kiến, có thể thay đổi để phù hợp hơn):
"
893,"Backend	Total Item	55
"
894,"Min	Max
"
895,"Fresher	0	66
"
896,"Junior	66	121
"
897,"Middle	121	171
"
898,"Pre-Senior	171	215
"
899,"Senior	215	275
"
900,"Frontend	Total Item	66
"
901,"Min	Max
"
902,"Fresher	0	79
"
903,"Junior	79	145
"
904,"Middle	145	205
"
905,"Pre-Senior	205	257
"
906,"Senior	257	330
"
907,"Chi tiết các tiêu chí đánh giá năng lực developers: Evaluate_Developers_Checklist
"
908,"3 Hình thức đánh giá
"
909,"Các bạn developers sẽ tự đánh giá để nắm bắt được năng lực hiện tại của mình đang ở đâu, và biết cần phát triển tiếp như thế nào.
"
910,"Hoặc có thể nhờ những người làm việc trực tiếp với mình đánh giá, hoặc nhờ  PM/PTL/TL đánh giá.
"
911,"Không đặt nặng về vấn đề level-up, mà để một developers có thể biết phát triển năng lực như thế nào, nên các đánh giá mang tính chất tương đối. Nếu các bạn thấy mình có năng lực cao hơn, thì lúc đó các dự án có thể giao các công việc có mức độ khó hơn, để bạn có thể chứng minh năng lực của mình.
"
912,"4 Thời điểm đánh giá
"
913,"Đối với các cá nhân có thể tự đánh giá định kỳ theo checklist ở trên.
"
914,"Đối với các dự án và bộ phận nên đánh giá các bạn khi vào công ty, hoặc sau khi kết thúc thử việc, để các bạn nắm bắt được thông tin về cách đánh giá và cách phát triển bản thân, đồng thời bộ phận cũng nắm bắt được thông tin năng lực của các bạn.
"
915,"Developers - Lộ trình phát triển
"
916,"Jump to navigationJump to search
"
917,"Chi tiết xem tại đây: HBLAB Developers - Lộ trình phát triển
"
918,"Đầu tiên xin nhấn mạnh, các định nghĩa trong tài liệu này dựa trên môi trường của HBLAB gồm kiến thức, năng lực và dự án của công ty. Các tiêu chí đánh giá được thiết kế để phù hợp với môi trường, văn hóa, dự án của HBLAB.
"
919,"Nên có thể level senior ở công ty bên ngoài sẽ khác với level senior ở HBLAB.
"
920,"Contents
"
921,"1	1 Mục đích
"
922,"2	2 Tiêu chí đánh giá
"
923,"3	3 Hình thức đánh giá
"
924,"4	4 Thời điểm đánh giá
"
925,"1 Mục đích
"
926,"Định hướng phát triển theo hướng chuyên môn kỹ thuật (technical), không có định hướng về các rẽ nhánh sang các vị trí khác như PM … (nếu sang nhánh khác thì có thể xem lộ trình phát triển của nhánh định hướng sang (nếu có), hoặc trao đổi với cấp trên)
"
927,"Lộ trình này để một bạn developer có thể biết được năng lực hiện tại đang ở trình độ nào, cần phải học kiến thức nào, hoặc biết cần phải nâng cao năng lực bản thân lên trình độ nào.
"
928,"Ngoài ra, để các dự án có thể dùng để phân công các công việc phù hợp cho từng trình độ, mức độ khó của task được giao cũng sẽ tăng lên theo trình độ của developers
"
929,"Cái này chỉ phục vụ cho mục tiêu phát triển năng lực, định hướng phát triển về kỹ thuật, không liên quan đến lương, thưởng của các developers. Lương, thưởng được phản ánh bởi công sức đóng góp vào công ty, dự án,...
"
930,"2 Tiêu chí đánh giá
"
931,"Có nhiều mô hình đánh giá năng lực, tuy nhiên ở chúng ta sẽ đánh giá theo năng lực theo mô hình Dreyfus (đánh giá năng lực dựa trên thực nghiệm), đánh giá trên việc đã làm của mình chứ không phải dựa trên hiểu biết lý thuyết.
"
932,"Theo mô hình Dreyfus sẽ có 5 mức, thang điểm như sau:
"
933,"Level	Point
"
934,"Can't rate	Can't rate
"
935,"No skill(chưa biết gì)	--
"
936,"Novice (mới bắt đầu)	1
"
937,"Advanced Beginner(Nhập môn)	2
"
938,"Competent (Có năng lực)	3
"
939,"Proficient (Thành thạo)	4
"
940,"Expert(Tinh thông)	5
"
941,"Chi tiết cách đánh giá xem sheet Norm.
"
942,"Các level sẽ tương ứng với khoảng điểm như sau (dự kiến, có thể thay đổi để phù hợp hơn):
"
943,"Backend	Total Item	55
"
944,"Min	Max
"
945,"Fresher	0	66
"
946,"Junior	66	121
"
947,"Middle	121	171
"
948,"Pre-Senior	171	215
"
949,"Senior	215	275
"
950,"Frontend	Total Item	66
"
951,"Min	Max
"
952,"Fresher	0	79
"
953,"Junior	79	145
"
954,"Middle	145	205
"
955,"Pre-Senior	205	257
"
956,"Senior	257	330
"
957,"Chi tiết các tiêu chí đánh giá năng lực developers: Evaluate_Developers_Checklist
"
958,"3 Hình thức đánh giá
"
959,"Các bạn developers sẽ tự đánh giá để nắm bắt được năng lực hiện tại của mình đang ở đâu, và biết cần phát triển tiếp như thế nào.
"
960,"Hoặc có thể nhờ những người làm việc trực tiếp với mình đánh giá, hoặc nhờ  PM/PTL/TL đánh giá.
"
961,"Không đặt nặng về vấn đề level-up, mà để một developers có thể biết phát triển năng lực như thế nào, nên các đánh giá mang tính chất tương đối. Nếu các bạn thấy mình có năng lực cao hơn, thì lúc đó các dự án có thể giao các công việc có mức độ khó hơn, để bạn có thể chứng minh năng lực của mình.
"
962,"4 Thời điểm đánh giá
"
963,"Đối với các cá nhân có thể tự đánh giá định kỳ theo checklist ở trên.
"
964,"Đối với các dự án và bộ phận nên đánh giá các bạn khi vào công ty, hoặc sau khi kết thúc thử việc, để các bạn nắm bắt được thông tin về cách đánh giá và cách phát triển bản thân, đồng thời bộ phận cũng nắm bắt được thông tin năng lực của các bạn.
"
965,"Developers - Lộ trình phát triển
"
966,"Jump to navigationJump to search
"
967,"Chi tiết xem tại đây: HBLAB Developers - Lộ trình phát triển
"
968,"Đầu tiên xin nhấn mạnh, các định nghĩa trong tài liệu này dựa trên môi trường của HBLAB gồm kiến thức, năng lực và dự án của công ty. Các tiêu chí đánh giá được thiết kế để phù hợp với môi trường, văn hóa, dự án của HBLAB.
"
969,"Nên có thể level senior ở công ty bên ngoài sẽ khác với level senior ở HBLAB.
"
970,"Contents
"
971,"1	1 Mục đích
"
972,"2	2 Tiêu chí đánh giá
"
973,"3	3 Hình thức đánh giá
"
974,"4	4 Thời điểm đánh giá
"
975,"1 Mục đích
"
976,"Định hướng phát triển theo hướng chuyên môn kỹ thuật (technical), không có định hướng về các rẽ nhánh sang các vị trí khác như PM … (nếu sang nhánh khác thì có thể xem lộ trình phát triển của nhánh định hướng sang (nếu có), hoặc trao đổi với cấp trên)
"
977,"Lộ trình này để một bạn developer có thể biết được năng lực hiện tại đang ở trình độ nào, cần phải học kiến thức nào, hoặc biết cần phải nâng cao năng lực bản thân lên trình độ nào.
"
978,"Ngoài ra, để các dự án có thể dùng để phân công các công việc phù hợp cho từng trình độ, mức độ khó của task được giao cũng sẽ tăng lên theo trình độ của developers
"
979,"Cái này chỉ phục vụ cho mục tiêu phát triển năng lực, định hướng phát triển về kỹ thuật, không liên quan đến lương, thưởng của các developers. Lương, thưởng được phản ánh bởi công sức đóng góp vào công ty, dự án,...
"
980,"2 Tiêu chí đánh giá
"
981,"Có nhiều mô hình đánh giá năng lực, tuy nhiên ở chúng ta sẽ đánh giá theo năng lực theo mô hình Dreyfus (đánh giá năng lực dựa trên thực nghiệm), đánh giá trên việc đã làm của mình chứ không phải dựa trên hiểu biết lý thuyết.
"
982,"Theo mô hình Dreyfus sẽ có 5 mức, thang điểm như sau:
"
983,"Level	Point
"
984,"Can't rate	Can't rate
"
985,"No skill(chưa biết gì)	--
"
986,"Novice (mới bắt đầu)	1
"
987,"Advanced Beginner(Nhập môn)	2
"
988,"Competent (Có năng lực)	3
"
989,"Proficient (Thành thạo)	4
"
990,"Expert(Tinh thông)	5
"
991,"Chi tiết cách đánh giá xem sheet Norm.
"
992,"Các level sẽ tương ứng với khoảng điểm như sau (dự kiến, có thể thay đổi để phù hợp hơn):
"
993,"Backend	Total Item	55
"
994,"Min	Max
"
995,"Fresher	0	66
"
996,"Junior	66	121
"
997,"Middle	121	171
"
998,"Pre-Senior	171	215
"
999,"Senior	215	275
"
1000,"Frontend	Total Item	66
"
1001,"Min	Max
"
1002,"Fresher	0	79
"
1003,"Junior	79	145
"
1004,"Middle	145	205
"
1005,"Pre-Senior	205	257
"
1006,"Senior	257	330
"
1007,"Chi tiết các tiêu chí đánh giá năng lực developers: Evaluate_Developers_Checklist
"
1008,"3 Hình thức đánh giá
"
1009,"Các bạn developers sẽ tự đánh giá để nắm bắt được năng lực hiện tại của mình đang ở đâu, và biết cần phát triển tiếp như thế nào.
"
1010,"Hoặc có thể nhờ những người làm việc trực tiếp với mình đánh giá, hoặc nhờ  PM/PTL/TL đánh giá.
"
1011,"Không đặt nặng về vấn đề level-up, mà để một developers có thể biết phát triển năng lực như thế nào, nên các đánh giá mang tính chất tương đối. Nếu các bạn thấy mình có năng lực cao hơn, thì lúc đó các dự án có thể giao các công việc có mức độ khó hơn, để bạn có thể chứng minh năng lực của mình.
"
1012,"4 Thời điểm đánh giá
"
1013,"Đối với các cá nhân có thể tự đánh giá định kỳ theo checklist ở trên.
"
1014,"Đối với các dự án và bộ phận nên đánh giá các bạn khi vào công ty, hoặc sau khi kết thúc thử việc, để các bạn nắm bắt được thông tin về cách đánh giá và cách phát triển bản thân, đồng thời bộ phận cũng nắm bắt được thông tin năng lực của các bạn.
"
1015,"Quy trình Nhân sự
"
1016,"Jump to navigationJump to search
"
1017,"Quy trình Tuyển dụng
"
1018,"Quy trình nghỉ việc
"
1019,"Quy trình gia hạn Hợp đồng lao động
"
1020,"Quy trình nhận thưởng thi chứng chỉ
"
1021,"Hướng dẫn về Bảo hiểm xã hội
"
1022,"Hướng dẫn sử dụng Bảo hiểm sức khỏe
"
1023,"Quy trình sử dụng quỹ học tập
"
1024,"Quy trình điều chuyển nhân sự
"
1025,"Quy trình chấm công
"
1026,"Quy trình quản lý nhân sự thuê ngoài
"
1027,"Quy trình Tiếp nhận Yêu cầu tuyển dụng
"
1028,"Hướng dẫn Chế độ công tác
"
1029,"Hướng dẫn v/v điều chỉnh thông tin Lương
"
1030,"Quy trình IT
"
1031,"Jump to navigationJump to search
"
1032,"1. Nội quy An toàn thông tin
"
1033,"2. Kho phần mềm HBLAB
"
1034,"3. Hướng dẫn xử lí các sự cố máy tính cơ bản
"
1035,"4. Hướng dẫn kết nối VPN công ty
"
1036,"5. Lịch trình kiểm tra thiết bị định kì
"
1037,"6.Quy trình bộ phận IT về việc tiếp nhận nhân sự mới,
"
1038,"7.Quy trình bộ phận IT về Nhân sự nghỉ việc.
"
1039,"8.Quy tình quản lý mua sắm thiết bị
"
1040,"9.Quy trình quản lý tài sản nhân sự nghỉ sinh, tạm nghỉ
"
1041,"Quy trình chốt dự án
"
1042,"Jump to navigationJump to search
"
1043,"Khi chốt dự án thì cần làm các công việc sau đây:
"
1044,"Bên Sale hoặc CSM cần gửi thông tin dưới đây về cho các bên liên quan (Sale, QA, COO, members liên quan)
"
1045,"Thông tin tổng quan về dự án
"
1046,"Budget cho dự án (man month)
"
1047,"Proposal (nếu có)
"
1048,"Link estimate đã chốt với khách hàng (nếu có)
"
1049,"Evidence đã chốt với KH (nếu có)
"
1050,"Thời điểm start dự án (nếu có)
"
1051,"Mốc release mong muốn của khách hàng (nếu có)
"
1052,"Schedule đã chốt với khách hàng (nếu có)
"
1053,"Các điểm chú ý đặc biệt khác (security, các thỏa thuận khác cần chú ý nếu có ...)
"
1054,"Thông tin chi tiết về dự án
"
1055,"Đặc tả yêu cầu của dự án
"
1056,"Các thông tin khác liên quan đến dự án (nếu có)
"
1057,"Tài liệu Marketing
"
1058,"Jump to navigationJump to search
"
1059,"Nguyên tắc đặt trên file trong folder Marketing
"
1060,"Hướng dẫn tạo template bài viết
"
1061,"Hướng dẫn báo cáo Daily Meeting
"
1062,"Hướng dẫn tạo bài viết trên Facebook
"
1063,"Hướng dẫn tạo bài viết trên Website
"
1064,"Hướng dẫn SEO bài viết trên Website
"
1065,"Hướng dẫn tạo ảnh đăng bài
"
